price,vehicleType,gearbox,powerPS,fuelType,brand,vehicleAge,miles
18300,3,1,190,2,1,12,77500
9800,7,0,163,2,9,19,77500
14500,1,1,125,1,6,9,18600
17999,7,1,190,2,15,12,43400
7550,1,1,136,2,6,16,93000
10400,3,1,160,1,26,14,62000
6900,6,1,99,1,7,15,37200
18000,6,0,218,1,2,16,12400
11900,0,1,129,2,26,21,93000
12500,6,0,231,2,2,17,93000
6990,6,1,95,1,13,16,62000
7999,6,1,177,2,2,16,93000
13500,1,0,109,2,12,11,93000
14800,2,1,170,1,2,15,77500
7999,6,0,143,2,2,15,93000
39600,3,0,306,1,2,9,18600
7499,6,0,232,2,1,19,93000
7000,6,0,105,2,26,17,62000
14999,2,1,218,1,2,16,31000
9700,3,1,160,1,26,15,93000
7999,5,1,156,1,12,15,93000
6600,6,1,105,2,26,17,93000
7999,4,1,80,1,15,10,24800
5000,1,1,109,2,12,17,93000
20300,6,0,204,2,12,13,49600
8000,7,1,185,2,27,18,93000
6800,4,1,82,1,6,14,37200
14500,4,1,86,1,1,10,37200
23490,6,0,143,2,2,10,24800
22999,3,0,303,1,8,11,31000
6500,6,1,163,2,1,19,93000
7300,6,0,235,2,2,14,62000
8599,2,1,200,1,16,17,77500
5900,5,0,178,2,1,18,93000
6300,6,1,265,1,26,21,93000
5950,6,1,163,2,2,17,93000
9290,4,1,86,1,26,13,24800
7000,6,1,120,1,12,20,93000
6990,5,1,75,2,21,11,62000
14499,6,0,170,2,12,16,77500
8250,1,1,109,2,6,13,77500
41900,7,0,204,2,12,9,24800
9450,2,1,170,1,2,19,93000
6890,6,1,170,2,12,20,77500
7500,7,0,194,1,10,16,3100
8500,1,1,131,2,26,16,93000
11890,1,1,116,2,6,12,93000
19750,2,1,305,1,6,17,31000
9800,2,1,150,1,26,17,37200
10500,1,0,150,2,12,17,93000
11000,6,1,131,2,16,11,43400
16449,5,0,110,1,21,8,6200
14300,6,1,120,1,1,12,37200
5999,4,1,80,1,26,14,77500
8999,1,1,105,2,26,16,55800
25000,3,0,305,1,6,55,55800
13400,6,1,170,1,2,15,62000
11299,6,0,250,1,26,17,93000
9500,5,1,131,2,16,12,93000
11000,5,0,231,2,2,17,93000
6900,2,1,163,1,19,17,62000
12999,5,0,179,2,1,15,93000
18400,5,0,313,2,2,12,93000
12899,5,0,140,2,1,14,93000
10500,6,1,143,2,2,13,93000
8500,6,1,80,1,26,13,31000
14900,6,1,265,1,2,16,93000
8600,3,1,197,2,2,16,93000
11800,6,0,218,1,2,18,93000
5499,5,1,122,2,12,19,93000
5500,6,1,170,1,2,23,93000
22290,5,1,150,2,1,10,31000
15700,6,1,170,2,26,12,55800
9200,5,1,150,1,2,17,93000
9800,6,0,140,2,1,15,93000
14700,6,0,211,1,26,11,37200
6799,6,0,286,3,2,21,93000
11919,4,0,90,1,26,11,18600
25900,3,1,265,1,18,14,77500
10800,4,1,105,2,1,13,77500
26999,1,0,140,2,26,10,49600
5900,6,0,184,2,2,24,93000
56900,6,0,326,2,1,8,3100
48000,3,0,265,2,12,9,49600
8400,4,1,201,1,19,14,43400
27500,7,0,224,2,12,14,93000
14950,1,1,140,1,26,14,43400
14900,2,1,170,1,2,19,43400
12000,7,1,101,2,26,12,93000
6000,3,1,286,1,14,28,93000
8950,4,1,95,2,6,11,37200
18700,3,0,213,1,6,14,49600
11550,3,0,140,2,26,14,77500
16150,7,1,150,1,26,12,18600
5500,6,1,90,2,26,19,93000
6799,6,1,174,1,17,15,55800
5299,2,1,220,1,1,21,93000
7150,6,1,150,2,12,21,93000
5500,1,1,140,2,26,17,93000
7950,6,1,140,2,1,15,93000
16500,3,1,265,1,2,16,93000
8100,2,0,170,1,2,19,93000
9750,4,0,75,1,26,10,37200
7700,6,1,185,2,11,14,93000
9790,5,1,73,1,19,9,18600
11700,5,1,170,2,12,15,93000
8499,2,1,150,1,2,17,93000
5750,6,1,90,1,10,13,62000
8700,6,0,170,1,2,19,93000
18880,1,1,116,2,11,9,12400
11200,5,0,177,2,2,15,93000
13849,6,1,143,2,2,13,49600
13200,7,1,105,1,21,10,24800
8150,4,1,75,1,20,11,37200
9999,4,1,90,1,16,9,12400
16500,3,1,218,1,2,40,93000
